basename,F_1,P,R
BHIC_5117-078-0001,0.7671,0.6617,0.9126
EPFL_450,0.7677,0.7924,0.7446
UCL_106_064_002,0.7679,0.6272,0.9899
UCL_028_147_001,0.7681,0.6467,0.9456
unibas_IMG_MAX_183220,0.7687,0.6243,1.0
unibas_IMG_MAX_1266308,0.7706,0.6606,0.9245
EPFL_279,0.771,0.6608,0.9253
EPFL_455,0.7718,0.6571,0.935
EPFL_489-1,0.7738,0.6774,0.9022
NAF_0258,0.7746,0.7754,0.7737
UCL_047_111_001,0.7764,0.7173,0.8462
NAF_0233,0.7767,0.6422,0.9824
NAF_0210,0.7769,0.78,0.7737
StAM_00000419,0.7772,0.6632,0.9384
EPFL_264,0.7773,0.8284,0.7321
ABP_T_Otterskirchen_004_0094,0.7804,0.6736,0.9275
ABP_S_Aigen_am_Inn_009-05_0154,0.7811,0.7386,0.8288
EPFL_219,0.7818,0.6666,0.945
EPFL_74,0.7824,0.7817,0.7831
UCL_022_007_001,0.7836,0.7413,0.8309
NAF_0049,0.7862,0.687,0.9188
NAF_0146,0.7864,0.7594,0.8155
NAF_0066,0.7878,0.7933,0.7824
EPFL_0120,0.7882,0.7298,0.8568
ABP_T_Freyung_006-01_0152,0.7886,0.7008,0.9016
ABP_RS_Freyung_043-02_0038,0.7889,0.7633,0.8163
UCL_099_152_003,0.7903,0.7235,0.8707
EPFL_398,0.7904,0.787,0.7939
NAF_0065,0.7906,0.6817,0.9408
NAF_0058,0.7928,0.8162,0.7707
unibas_IMG_MAX_955659,0.7951,0.7834,0.8072
NAF_0050,0.7955,0.8266,0.7667
Bohisto_HS_77_2_object_105965,0.7961,0.9991,0.6616
NAF_0098,0.7983,0.895,0.7204
StAM_00000163,0.7989,0.7155,0.9044
unibas_IMG_MAX_794641,0.7992,0.6661,0.9988
UCL_047_279_001,0.7996,0.7772,0.8233
HUB_00000039,0.7996,0.6674,0.9971
BHIC_5117-091-0001,0.7997,0.6667,0.9989
ABP_RS_Otterskirchen_025_0005,0.7998,0.7447,0.8638
unibas_IMG_MAX_130426,0.8,0.6667,1.0
NAF_0354,0.8016,0.8975,0.7243
NAF_0242,0.8023,0.9035,0.7215
ABP_RM_Otterskirchen_011-02_0014,0.8039,0.9285,0.7088
ABP_S_Freyung_022-01_0043,0.8046,0.9049,0.7243
unibas_IMG_MAX_931298,0.8049,0.733,0.8925
Bohisto_HS65a_181_object_36396,0.8071,0.6931,0.9661
StAM_00000002-9,0.8071,0.6805,0.9915
BHIC_5117-077-0015,0.8073,0.7369,0.8925
NAF_0370,0.8078,0.8784,0.7478
UCL_069_238_003,0.8081,0.7009,0.9538
NAF_0338,0.8083,0.8942,0.7374
ABP_M_Freyung_013-01_0068,0.8089,0.7418,0.8894
Bohisto_HS_86_300_object_112302,0.8096,0.7262,0.9147
HUB_00000095,0.8096,0.682,0.996
ABP_T_Aigen_am_Inn_005_0186,0.81,0.9289,0.718
StAM_00000001-9,0.8102,0.7452,0.8876
Bohisto_HS_92_Register_42_object_193794,0.8106,0.6987,0.965
unibas_IMG_MAX_743987,0.8112,0.7084,0.9487
Bohisto_HS34b_248_object_23936,0.8112,0.6863,0.9918
ABP_T_Aigen_am_Inn_002-02_0061,0.8124,0.7007,0.9665
ABP_S_Freyung_019_0528,0.813,0.7329,0.9128
EPFL_71,0.8132,0.7158,0.9413
ABP_T_Otterskirchen_002_0436,0.8144,0.8716,0.7642
UCL_026_114_001,0.8145,0.8345,0.7955
BHIC_5117-086-0033,0.8145,0.7563,0.8824
NAF_0394,0.8145,0.8488,0.7828
